canonical_name,place_type,classification,address,locality,province,postal_code,source_label,source_url,verification_status,notes
Fraser Lake Diagnosis & Treatment Centre,organization,physical_place,130 Chowsunket Street,Fraser Lake,BC,V0J 1S0,Nechako Cares directory,https://nechakocares.org/directory/fraser-lake-community-health-centre,verified_source,Current source name is Fraser Lake Community Health Centre; older payee uses diagnostic/treatment centre wording.
General Practice Services Committee,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Group One Medical,organization,physical_place,1111 Springfield Road,Kelowna,BC,V1Y 8R7,City of Kelowna business licence mirror,https://opengovca.com/kelowna-business/4027596,verified_source,Physical physician office; no official clinic page found in quick review.
Health Employers Association of British Columbia,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Houston Health Care,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
James Samuel Gosnell Memorial Health Centre,organization,physical_place,4920 Tait Avenue,New Aiyansh,BC,V0J 1A0,FETCH Pacific Northwest service page,https://pacificnorthwest.fetchbc.ca/service.html?i=175,verified_source,Also known as Gitlaxt'aamiks (New Aiyansh) Health Centre; source lists alternate program name.
Jim Pattison Outpatient Care & Surgery Centre,organization,physical_place,9750 140th Street,Surrey,BC,V3T 0G9,HealthLinkBC service page,https://www.healthlinkbc.ca/find-care/find-health-services/program/jim-pattison-outpatient-care-and-surgery-centre,verified_source,"Fraser Health facility, address verified via HealthLinkBC."
Kirschner Medical,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Kootenay Boundary Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Ladysmith Community Health Centre,organization,physical_place,1111 4th Avenue,Ladysmith,BC,V9G 1A6,Island Health laboratory page,https://www.islandhealth.ca/locations/medical-laboratory-locations/lab-ladysmith-community-health-centre-medical-laboratory,verified_official,Official Island Health page for lab at Ladysmith Community Health Centre.
Ladysmith Health Centre,organization,physical_place,1111 4th Avenue,Ladysmith,BC,V9G 1A6,Island Health laboratory page,https://www.islandhealth.ca/locations/medical-laboratory-locations/lab-ladysmith-community-health-centre-medical-laboratory,verified_official,Likely shortened variant of Ladysmith Community Health Centre.
Lake Country Medical,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Langley Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Division of Family Practice is a physician network/administrative organization, not a public clinic/place row. Official site lists office contact separately."
Langley Primary Health Care Associates,organization,physical_place,303 - 22112 52 Avenue,Langley,BC,,Pathways Medical Care Directory,https://pathwaysmedicalcare.ca/clinic/langley-primary-health-care-associates/,verified_source,Physical family practice clinic.
Logan Lake Diagnosis & Treatment Centre,organization,physical_place,5 Beryl Drive,Logan Lake,BC,V0K 1W0,Interior Health location page,https://www.interiorhealth.ca/locations/logan-lake-health-centre,verified_official,Current official source name is Logan Lake Health Centre; older payee uses diagnosis/treatment centre wording.
Lumby Health Centre,organization,physical_place,2135 Norris Avenue,Lumby,BC,V0E 2G0,Interior Health location page,https://www.interiorhealth.ca/locations/lumby-health-unit,verified_official,Interior Health page uses Lumby Health Unit at the same health centre address.
Merritt Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Mission Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Mission Oaks Medical Centre,organization,physical_place,"7298 Hurd Street, Second Floor",Mission,BC,,Pathways Medical Care Directory,https://pathwaysmedicalcare.ca/clinic/mission-oaks-medical-centre/,verified_source,Physical family practice clinic.
Murrayville Family Practice,organization,physical_place,204 - 22112 52 Avenue,Langley,BC,,Pathways Medical Care Directory,https://pathwaysmedicalcare.ca/clinic/murrayville-family-practice-group/,verified_source,Physical clinic; source name is Murrayville Family Practice Group.
Namgis Health Centre,organization,physical_place,48 School Road,Alert Bay,BC,V0N 1A0,Namgis First Nation health page,https://namgis.bc.ca/health-wellness/,verified_official,Official First Nation page lists Namgis Health Centre contact location.
NHA Prince George Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Nicola Valley Health Centre,organization,physical_place,3451 Voght Street,Merritt,BC,V1K 1C6,Interior Health location page,https://www.interiorhealth.ca/locations/nicola-valley-hospital-health-centre,verified_official,Payee name appears to refer to Nicola Valley Hospital and Health Centre.
Nicola Valley Medical Centre,organization,physical_place,2076 Granite Avenue,Merritt,BC,,Pathways Medical Care Directory,https://pathwaysmedicalcare.ca/clinic/nicola-valley-medical-centre/,verified_source,Physical family practice clinic.
Nisga'a Valley Health Board,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
North Peace Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
North Peace Primary Care Centre,organization,physical_place,10504 100 Avenue,Fort St. John,BC,V1J 1Z2,North Peace Division recruitment page,https://divisionsbc.ca/north-peace/your-division/fort-st-john-wants-you,verified_source,Recruitment page lists North Peace Primary Care Clinic address.
North Shuswap Health Centre,organization,physical_place,2 - 3874 Squilax-Anglemont Road,Scotch Creek,BC,V0E 1M5,North Shuswap Health Centre website,https://www.northshuswaphealthcentre.ca/,verified_official,Clinic website lists address; Interior Health also lists Scotch Creek Medical Clinic at this location.
North Vancouver Urgent and Primary Care Centre,organization,physical_place,200 - 221 Esplanade West,North Vancouver,BC,V7L 1A5,Vancouver Coastal Health location page,https://www.vch.ca/en/location/north-vancouver-urgent-and-primary-care-centre,verified_official,Official VCH UPCC page.
Northern Interior Rural Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Oceanside Health Centre,organization,physical_place,489 Alberni Highway,Parksville,BC,V9P 1J9,HealthLinkBC urgent care listing,https://www.healthlinkbc.ca/find-care/find-health-services/program/urgent-care-centres,verified_source,HealthLinkBC lists Oceanside Health Centre under urgent care centres.
PACIFIC NORTHWEST DIVISION OF FAMILY PRACTICE,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Pattern of Practice Committee,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Pemberton Health Centre,organization,physical_place,1403 Portage Road,Pemberton,BC,V0N 2L0,Vancouver Coastal Health location page,https://www.vch.ca/en/location/pemberton-health-centre,verified_official,Official VCH location page.
Peninsula General Practice Group,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Physician Disability Insurance Program,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Physician Health Program,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Port Alberni Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Port Hardy Physicians,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Port McNeil Health Care Centre,organization,physical_place,2750 Kingcome Place,Port McNeill,BC,V0N 2R0,HealthLinkBC X-ray services page,https://www.healthlinkbc.ca/find-care/find-health-services/program/medical-imaging-x-ray-services-0,verified_source,Likely spelling variant of Port McNeill Health Care Centre / hospital location.
Port McNeill Health Care Centre,organization,physical_place,2750 Kingcome Place,Port McNeill,BC,V0N 2R0,HealthLinkBC X-ray services page,https://www.healthlinkbc.ca/find-care/find-health-services/program/medical-imaging-x-ray-services-0,verified_source,HealthLinkBC lists Port McNeill facility address.
Port McNeill Medical Collaborative,organization,physical_place,2750 Kingcome Place,Port McNeill,BC,V0N 2R0,BC Family Doctors locum posting,https://bcfamilydocs.ca/locum/port-mcneill-medical-collaborative/,verified_source,Collaborative clinic appears located at/with Port McNeill Health Care Centre; verify before merging.
Powell River Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Prince George Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Prince Rupert Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Providence Health Care,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Providence Health Care Society,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Provincial Health Services Authority,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Quadra Island Health Society,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Quesnel Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Rem Tek Enterprises Ltd.,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Robert Lewis MD Inc.,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Rural Coordination Centre of BC,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Rural Health Programs,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Rutland Medical Associates,organization,physical_place,200-207 - 285 Aurora Crescent,Kelowna,BC,,Pathways Medical Care Directory,https://pathwaysmedicalcare.ca/clinic/rutland-medical-associates/,verified_source,Physical family practice clinic; source lists suite range.
Salt Spring Chapter Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Sea To Sky Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Selkirk Medical Group,organization,physical_place,201 - 101 1st Street West,Revelstoke,BC,,Pathways Medical Care Directory,https://pathwaysmedicalcare.ca/clinic/selkirk-medical-group/,verified_source,Physical family practice clinic.
Selkirk Medical Group Unassigned In-Patient Care Incentives,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Seymore Urgent Primary Care Centre,organization,physical_place,1290 Hornby Street,Vancouver,BC,,BC Gov News release,https://news.gov.bc.ca/releases/2018hlth0114-002272,verified_source,Likely misspelling tied to Seymour Health Centre / Vancouver City Centre UPCC co-location; verify spelling before merge.
Seymour Health Centre,organization,physical_place,202 & 301 - 1770 West 7th Avenue,Vancouver,BC,V6J 4Y6,Pathways Medical Care Directory,https://pathwaysmedicalcare.ca/clinic/seymour-health-centre-west-7th/,verified_source,Physical clinic; West 7th location.
Shuswap North Okanagan Div Of Family Practice-Vernon,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Shuswap North Okanagan Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Shuswap North Okanagan Division of Family Practice-Vernon,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Slocan Community Health Centre,organization,physical_place,401 Galena Avenue,New Denver,BC,V0G 1S0,FETCH Kootenay Boundary service page,https://kb.fetchbc.ca/service.html?i=2408,verified_source,Interior Health page found but search result did not expose address; FETCH lists address and Interior Health as provider.
South Island Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
South Okanagan Similkameen Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
South Similkameen Health,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
South Similkameen Health Centre,organization,physical_place,700 - 3rd Street,Keremeos,BC,V0X 1N3,Interior Health location page,https://www.interiorhealth.ca/locations/south-similkameen-health-centre,verified_official,Official Interior Health location page.
Sparwood Health Centre,organization,physical_place,570 Pine Avenue,Sparwood,BC,V0B 2G0,Interior Health location page,https://www.interiorhealth.ca/locations/sparwood-health-centre,verified_official,Official Interior Health location page.
SPECIALIST PHYSICIANS,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Spectrum Health Care,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
SPH General Practice Society,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Summerland Health Centre,organization,physical_place,12815 Atkinson Road,Summerland,BC,V0H 1Z0,Interior Health location page,https://www.interiorhealth.ca/locations/summerland-community-health-centre,verified_official,Interior Health page uses Summerland Community Health Centre.
Sun Peaks Family Practice,organization,physical_place,3115 Creekside Way,Sun Peaks,BC,,Find a Doctor BC closure notice,https://findadoctorbc.ca/sun-peaks-clinic-taking-new-patients-but-there-is-a-backlog/,verified_source,"Physical family practice clinic address resolved; source reports clinic permanently closed in October 2025, so mark as historical/closed before registry merge."
Sunshine Coast Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Sunshine Coast/Sea To Sky Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
The Medical Centre,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Tumbler Ridge Health Centre,organization,physical_place,220 Front Street,Tumbler Ridge,BC,V0C 2W0,BC 211 agency page,https://bc.211.ca/agency-details/tumbler-ridge-community-health-centre-54844207/,verified_source,BC 211 links to Northern Health facility page and lists address.
UBC Family Practice Centre,organization,physical_place,"3rd Floor, David Strangway Building, 5950 University Boulevard",Vancouver,BC,V6T 1Z3,UBC Student Health Service page,https://students.ubc.ca/health/student-health-service,verified_source,UBC family practice/teaching clinic context; verify exact current clinic name before merging.
Valemount Diagnosis & Treatment Centre,organization,physical_place,1445 5th Avenue,Valemount,BC,V0E 2Z0,HealthLinkBC clinic page,https://www.healthlinkbc.ca/clinic/valemount-health-centre,verified_source,Current source name is Valemount Health Centre; older payee uses diagnosis/treatment centre wording.
Vancouver City Centre UPCC - MI Services,organization,physical_place,1290 Hornby Street,Vancouver,BC,,BC Gov News release,https://news.gov.bc.ca/releases/2018hlth0114-002272,verified_source,UPCC co-located with Seymour Health Centre; row is a service/payee variant rather than canonical facility name.
Vancouver Family Practice,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Wallgate Holdings Inc,organization,corporate_entity_no_public_clinic,,,,,,,classified_non_place,"Corporate, health authority, society, or legal payee entity rather than a specific public clinic/place row."
Westside Medical Associates,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Whistler Health Care Centre,organization,physical_place,4380 Lorimer Road,Whistler,BC,V8E 1A7,Vancouver Coastal Health location page,https://www.vch.ca/en/location/whistler-health-care-centre,verified_official,Official VCH location page.
White Rock/South Surrey Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Campbell River & District Div of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Central Interior Rural Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Chetwynd Centre Med Cl,organization,ambiguous,,,,,,,needs_review,"Name suggests a possible clinic/facility or society, but no authoritative public address was confidently resolved during this pass."
Comox Valley Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Cowichan Valley Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
East Kootenay Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
FHA-Chilliwack Division Of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
FHA-Chilliwack Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Kootenay Boundary Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Merritt Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Mission Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
NHA Prince George Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
North Peace Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Northern Interior Rural Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Pacific Northwest Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Pleasant Valley Health Centre,organization,physical_place,3800 Patten Drive,Armstrong,BC,V4Y 1C4,Interior Health facility page,https://www.interiorhealth.ca/locations/pleasant-valley-health-centre,verified_official,Already present in registry with official Interior Health source.
Port Alberni Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Port Mcneill Medical Collaborative,organization,physical_place,2750 Kingcome Place,Port McNeill,BC,V0N 2R0,BC Family Doctors locum posting,https://bcfamilydocs.ca/locum/port-mcneill-medical-collaborative/,verified_source,Case variant of Port McNeill Medical Collaborative; verify before merging.
Powell River Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Prince Rupert Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
Quesnel Division of Family Practice,organization,non_place_program,,,,,,,classified_non_place,"Administrative/professional network, committee, fund, payment program, or incentive row; not a public clinic/place address."
